Game Title,Console,Price
Rescue Terra I,PS,360.94
Revenge of the Beefsteak Tomatoes,PS,41.60
Riddle of the Sphinx,PS,17.08
River Patrol,PS,"4,000.00"
River Raid,PS,22.59
River Raid II,PS,50.52
Road Runner,PS,38.56
Robin Hood,PS,79.82
Robin Hood / Sir Lancelot,PS,82.95
Robot Tank,PS,21.81
Roc 'N Rope,PS,34.23
Room of Doom,PS,117.90
Rubik's Cube,PS,272.23
Scuba Diver [Panda],PS,101.75
Scuba Diver [Zellers],PS,29.40
Sea Hawk [Froggo],PS,34.39
Sea Hawk [Panda],PS,135.88
Sea Hawk [Zellers],PS,0.00
Sea Hunt,PS,39.41
Seamonster,PS,"1,323.29"
Seaquest,PS,47.37
Secret Quest,PS,24.76
Sentinel,PS,49.36
Shark Attack,PS,30.63
Shootin' Gallery,PS,46.58
Shuttle Orbiter,PS,196.71
Sir Lancelot,PS,0.00
Skate Boardin',PS,23.45
Skeet Shoot,PS,64.88
Skiing,PS,17.36
Sky Diver,PS,19.13
Sky Jinks,PS,18.19
Sky Skipper,PS,23.89
Slot Machine,PS,19.28
Slot Racers,PS,19.51
Slots,PS,55.49
Smurf Rescue in Gargamel's Castle,PS,37.85
Smurfs Save the Day,PS,0.00
Sneak 'N Peek,PS,21.34
Snoopy and The Red Baron,PS,57.88
Soccer,PS,21.35
Solar Fox,PS,33.16
Solar Storm,PS,57.94
Solaris,PS,16.98
Sorcerer,PS,29.82
Sorcerer's Apprentice,PS,67.11
Space Adventure,PS,0.00
Space Attack,PS,9.38
Space Canyon,PS,368.55
Space Cavern,PS,20.01
Space Chase,PS,23.99
Space Combat,PS,27.45
Space Invaders [Atari],PS,21.89
Space Invaders [Sears],PS,38.44
Space Jockey,PS,10.17
Space Shuttle: A Journey Into Space,PS,66.25
Space Tunnel,PS,"1,317.09"
Space War,PS,15.10
Spacemaster X-7,PS,46.20
Speedway II,PS,30.83
Spelling,PS,49.33
Spider Fighter,PS,24.24
Spider Maze,PS,0.00
Spider-Man,PS,45.87
Spiderdroid,PS,27.28
Spike's Peak,PS,174.99
Spitfire Attack,PS,132.60
Springer,PS,213.42
Sprintmaster,PS,12.82
Spy Hunter,PS,174.77
Squeeze Box,PS,18.00
Sssnake,PS,21.05
Stampede,PS,13.04
Star Fox,PS,21.00
Star Raiders [Atari],PS,18.08
Star Raiders [Sears],PS,32.16
Star Ship,PS,87.24
Star Strike,PS,124.77
Star Trek,PS,55.75
Star Voyager,PS,13.98
