Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Price,2600,Gen,N64,NES,PS,SAT,SCD,SNES,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Price_bin_custom_range,Price_bin_custom_label
1982,460000,30000,0,10000,500000,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1981,120000,10000,0,0,130000,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1981,1490000,90000,0,20000,1600000,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(20, 40]",3
1988,470000,30000,0,10000,510000,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1981,550000,30000,0,10000,590000,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1986,350000,20000,0,0,370000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1981,870000,50000,0,10000,930000,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1987,70000,0,0,0,70000,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1987,70000,0,0,0,80000,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1982,520000,30000,0,10000,550000,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
1993,0,0,50000,0,50000,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(80, 140]",5
1993,0,0,50000,0,50000,43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1992,0,0,120000,0,120000,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1993,0,0,70000,0,70000,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1992,0,0,130000,0,130000,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(80, 140]",5
1992,1950000,630000,0,90000,2670000,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1994,1030000,270000,0,40000,1340000,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1992,1750000,250000,0,50000,2049999,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1994,950000,140000,0,30000,1110000,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
1993,0,0,190000,0,190000,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(80, 140]",5
1994,1240000,430000,30000,120000,1820000,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1991,3030000,910000,260000,130000,4340000,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(20, 40]",3
1992,4470000,1200000,160000,190000,6030000,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(10, 20]",2
1994,1020000,470000,200000,70000,1760000,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(20, 40]",3
